"id","name","gender","mob","email","post","joining"
13,"rohan","male",9011,"rohan@gmail.com","ceo",0
14,"prajwal","male",9028,"prajwal@gmail.com","hr",0
15,"nikhil","male",9146,"nikhil@gmail.com","manager",0
16,"atul","mlae",7057,"atul@gmail.com","hamal",0
17,"sarika","female",7058,"sarika@gmail.com","manager",0
20,"nitin","male",9823,"nitin@gmail.com","accountant",0
21,"shubhangi","female",9011,"shubhnagi@mail.com","assitant",0
22,"neha","female",9877,"neha@gmail.com","calling centere",0
23,"harshal","male",9146,"harshal@gmail.com","aadhar centere",0
24,"athrva","male",9877,"athrva@gmail.com","student",0
25,"mahira","female",2277,"mahira@gmail.com","accoutant",0
26,"diksha","female",9822,"diksha@gmail.com","bankmanager",0
27,"rohan","male",9011,"rohan@gmail.com","ceo",0
28,"prajwal","male",9028,"prajwal@gmail.com","hr",0
29,"nikhil","male",9146,"nikhil@gmail.com","manager",0
30,"atul","mlae",7057,"atul@gmail.com","hamal",0
31,"sarika","female",7058,"sarika@gmail.com","manager",0
32,"nitin","male",9823,"nitin@gmail.com","accountant",0
33,"shubhangi","female",9011,"shubhnagi@mail.com","assitant",0
34,"neha","female",9877,"neha@gmail.com","calling centere",0
35,"harshal","male",9146,"harshal@gmail.com","aadhar centere",0
36,"athrva","male",9877,"athrva@gmail.com","student",0
37,"mahira","female",2277,"mahira@gmail.com","accoutant",0
38,"diksha","female",9822,"diksha@gmail.com","bankmanager",0
39,"rohan","male",9011,"rohan@gmail.com","ceo",0
40,"prajwal","male",9028,"prajwal@gmail.com","hr",0
41,"nikhil","male",9146,"nikhil@gmail.com","manager",0
42,"atul","mlae",7057,"atul@gmail.com","hamal",0
43,"sarika","female",7058,"sarika@gmail.com","manager",0
44,"nitin","male",9823,"nitin@gmail.com","accountant",0
45,"shubhangi","female",9011,"shubhnagi@mail.com","assitant",0
46,"neha","female",9877,"neha@gmail.com","calling centere",0
46,"harshal","male",9146,"harshal@gmail.com","aadhar centere",0
47,"athrva","male",9877,"athrva@gmail.com","student",0
48,"mahira","female",2277,"mahira@gmail.com","accoutant",0
49,"diksha","female",9822,"diksha@gmail.com","bankmanager",0
50,"neha","female",9877,"neha@gmail.com","calling centere",0
